,Company,Link,Title,Text
0,LULU,/news/article/is-lululemon-stocks-nasdaqlulu-stretched-valuation-worth-paying,Is Lululemon Stock’s (NASDAQ:LULU) Stretched Valuation Justified?,"Shares of popular yoga wear maker Lululemon (NASDAQ:LULU) may be off around 35% from their all-time high hit in the back half of 2021. Still, the stock has held up far better than most other apparel plays over the past year. As we enter a likely recession year, questions linger as to whether Lululemon can keep outperforming peers going down the stretch or whether LULU stock will succumb to the same forces that have weighed down its rivals. Nonetheless, I believe LULU can hold up.Undoubtedly, Lululemon boasts one of the strongest brands in the athletic apparel space. That said, Nike’s (NYSE:NKE) profoundly influential brand didn’t save its stock from shedding more than 53% from peak to trough.Indeed, Nike had its fair share of company-specific issues. Most notably, supply-chain hurdles have caused the firm (and its stock) to stumble. More recently, inventory gluts and markdowns have been on investors’ minds.Though the Nike brand entails strong pricing power, markdowns seem like the only solution to clear out old products at a time when consumers are being more prudent with their spending patterns.Lululemon isn’t immune to supply issues and swelling inventories. Industry headwinds are still hitting Lululemon. Much like Nike, Lululemon’s inventory levels have trended higher over the last few quarters. Undoubtedly, Lululemon’s growth runway looks more compelling than Nike or any other blue-chip athletic apparel play, for that matter.Menswear and international growth opportunities are two non-traditional growth arenas that are relatively untapped. As Lululemon continues investing in such areas, there’s a good chance the firm can take market share and resist a portion of the hit from a global recession.In any case, Lululemon seems better poised to pick up where it left off once the recession passes. Even if there’s more pain ahead, it’s hard to find a long-term growth story as compelling as that of Lululemon.At writing, shares of Lululemon trade at 34.3 times trailing earnings, 27.5 times cash flow, and 5.3 times sales. All multiples are considerably higher than the apparel & accessories industry averages of 25.3, 18.0, and 4.3, respectively.Indeed, bargain hunters in the apparel space may not be getting much of a discount with Lululemon shares. Still, I think Lululemon’s premium price tag is well-earned. I am bullish on LULU stock.Higher rates and winds of a recession may have curbed the appeal of growth stocks. As a profitable growth company with enviable (and growing) margins, Lululemon seems like the type of growth play that could lead the way in a world where rates could stay elevated for longer.Growth still matters as long as there’s more clarity on the type of return to expect from an investment. Lululemon’s pristine balance sheet (barely any debt) and robust free cash flows have done wonders for soothing investors amid the Fed’s tightening cycle.Turning to Wall Street, LULU stock comes in as a Moderate Buy. Out of 18 analyst ratings, there are 13 Buys, four Holds, and one Sell recommendation.The average Lululemon price target is $412.06, implying upside potential of 30.8%. Analyst price targets range from a low of $200.00 per share to a high of $542.00 per share.Lululemon remains a discretionary firm. Demand for pricy yoga pants and hoodies will likely hit a snag in 2023 as a recession nears. Still, a “mild” downturn is unlikely to have a long-lasting effect on the company’s growth profile.The company’s “Power of Three x2” five-year plan is still in place. Innovation, e-commerce, and international growth remain arenas that could help Lululemon pressure the competition as it looks to pad its margins further. Gap’s (NYSE:GPS) Athleta has proven a worthy contender with a lower sticker price.Lululemon’s brand and innovation-driven five-year plan may help it stave off rivals like Athleta. Only time will tell if Athleta can tilt the market in its favor as economic times get more challenging. Regardless, I think Lululemon’s brand power may be more potent than many analysts believe.Going into the first quarter of 2023, I expect inventory markdowns could weigh on near-term margins. Lululemon’s managers have already warned of above-average inventory levels. Nike and other well-run retailers can’t do much about the matter — elevated inventory is just another sign of the times for the apparel firms.Fortunately, discounting may be viewed as more of a double-edged sword than a dagger to the heart. Steep discounts and a potentially sizeable Boxing Day sale could help Lululemon overcome its sales slowdown.In short, Lululemon’s a long-term winner that’s been tripped up of late. I bet the firm will find its footing and not fall flat on its face, even with hostile conditions.Disclosure"
1,DE,/news/article/deere-nysede-stock-scores-a-perfect-10,Deere (NYSE:DE) Stock Scores a “Perfect 10”,"Deere (NYSE:DE) has successfully maintained its place in TipRanks’ “Perfect 10” Smart Score list over the past four months. TipRanks’ Smart Score tool considers eight different factors, including analyst rating, technical analysis, and insider activity, among others, and assigns a score to stocks between 1 and 10, with 10 being the best.Interestingly, the stocks with the “Perfect 10” score have historically surpassed the returns of the benchmark index. This is evident in the 30.5% gain of DE stock over the past three months in comparison to the 5.8% rally of the broader S&P 500 index (SPX). The stock has gained 25.1% over the past year.Deere manufactures and distributes various types of equipment that is used in agriculture, construction, forestry, and turf care. The robust demand for agricultural products and elevated crop prices have been encouraging farmers to purchase new equipment, thereby aiding Deere’s topline.The company reported a strong fiscal fourth quarter, as both revenue and earnings increased year-over-year. The company benefitted from easing supply chain woes and robust demand for its products.Also, Deere’s capital deployment activities are impressive. Earlier in December, the company increased its quarterly common stock dividend by 6%, to $1.20 per share.Furthermore, the stock seems undervalued despite the share price gain. Its current P/E multiple of 18.7x is trading at a discount of 14.2% to its five-year average of 21.9. This makes DE stock an attractive investment option.Deere stock has a Moderate Buy consensus rating based on 11 Buy and six Hold recommendations. Further, the average price target of $476.65 implies 9.2% upside potential.Besides for analysts, hedge funds have maintained a positive outlook on DE stock. Our data shows that hedge funds bought Deere for 3.4 million in the last quarter. Bloggers are bullish on the stock as well.Special end-of-year offer: Access TipRanks Premium tools for an all-time low price! Click to learn more.Disclosure"
2,NINE,/news/article/whats-behind-the-rally-in-nine-energy-nysenine-stock,What’s Behind the Rally in Nine Energy (NYSE:NINE) Stock?,"Shares of Nine Energy (NYSE:NINE), an oilfield services provider that offers completion services to E&P (oil and gas exploration and production) companies, have surged over 427% in three months, outpacing the benchmark index by a wide margin. Higher price realizations and an increase in unconventional resource development activity are behind the surge in its stock price. The company is strategically increasing its prices across all its services. Meanwhile, the demand for its products and services, especially its cementing services, remains high, supporting its financials. Moreover, the company is focusing on deleveraging its balance sheet, which is positive. It’s worth highlighting that NINE’s business depends upon the onshore oil and gas companies’ level of capital spending and well completions. Lower capital spending by oil and gas companies could pose challenges. However, management is confident and expects to benefit from its geographic and service line diversity. Further, constraints on oilfield service equipment and incremental rig activity are expected to support pricing and, in turn, its financials even if there is no significant increase in resource and well development activity.Ignacio Bernaldez of EF Hutton has rated NINE stock a Buy due to its geographical diversity and capital-light business model. His price target of $15.50 implies a further upside of 12.65% from current levels. As NINE stock has skyrocketed, insiders sold it. TipRanks’ data shows that insiders sold NINE stock worth $3.8M in the last three months. Meanwhile, hedge funds bought NINE stock worth $90K. Nine Energy stock has a “Perfect 10” Smart Score on TipRanks. (Stay abreast of the best that TipRanks’ Smart Score has to offer).Nine Energy is well-positioned to capitalize on the increased resource development activity and higher spending by oil and natural gas companies. Its stock has outperformed the broader markets by a wide margin and is poised to deliver strong returns in the coming months. Special end-of-year offer: Access TipRanks Premium tools for an all-time low price! Click to learn more.Disclosure"
3,CNK,/news/article/cinemark-cnk-stock-poised-for-comeback-in-2023,Can Cinemark Stock (NYSE:CNK) Make a Comeback in 2023?,"Easily one of the hardest-hit companies during the post-pandemic new normal, movie theater operator Cinemark (NYSE:CNK) became a victim of circumstances. With the COVID-19 outbreak initially forcing a shutdown of non-essential businesses, Cinemark, for a time, couldn’t make money. Following the reduction of restrictions, myriad changes in the consumer economy weren’t always so helpful for Hollywood. Nevertheless, a risky but bullish case exists for CNK stock.To be clear, anyone participating on the long side of the Cinemark plotline does so against great odds. As I noted earlier, much of the recent volatility in CNK stock centers on the disappointing weekend debut performance of Avatar: The Way of Water. At the domestic box office, the much-awaited sequel to the original Avatar generated $134 million on its debut. Unfortunately, with the high production costs involved, Hollywood analysts expected more.On the international front, the movie posted a $301 million performance. Though this impressed some onlookers, China’s debut performance of $57.1 million fell below forecasts of around $100 million.Fundamentally, many investors exited CNK stock due to anticipated pressures on the consumer economy. For one thing, the Federal Reserve remains committed to raising the benchmark interest rate to kill inflation. Another factor centers on job losses. More than a few high-profile companies announced layoffs, which equates to fewer people having well-paying jobs. In turn, this dynamic kills sentiment for discretionary purchases.Nevertheless, some patience can go a long way with a market idea like CNK stock.It’s no secret that cinema pundits hoped for more magic during the final month of 2022. However, it’s also unfair to penalize CNK stock excessively for circumstances largely out of its control. In other words, the bears might be missing the forest for the trees.Regarding the comparatively lackluster domestic box office debut, the American consumer just suffered a stratospheric rise in inflation. Not only did housing prices skyrocket, but so too did virtually everything else. Heading into the final days of the year, consumers tacked on a record amount of credit card debt. Simply put, folks lacked the capacity to spend on discretionary goods and services.Also, it’s way too early to call the demise of the Avatar sequel. According to a CNN report, the original blockbuster film eventually generated $3 billion in sales, becoming the highest-grossing film of all time. However, you wouldn’t know it from its 2009 debut weekend, earning only $77 million. So, just with the domestic tally alone, the new Avatar is off to a better start.Just as significantly, both films debuted during or in the immediate aftermath of severe economic cycles. In the original film’s release schedule, moviegoers were busy recovering from the Great Recession. Regarding the current debut, folks are starting to put back the pieces that COVID-19 ripped apart. These things take time.As well, the success of the original Avatar following the Great Recession should provide hope for CNK stock. Fundamentally, this narrative confirms the escapism angle that bolsters the broader Hollywood industry. As people go through difficult times, entertainment – especially cheap entertainment – offers valuable psychological sustenance and reassurance.Turning to Wall Street, CNK stock has a Moderate Buy consensus rating based on five Buys, two Holds, and two Sell ratings. The average CNK price target is $14.67, implying 75.7% upside potential.During the third quarter of this year, hedge funds piled into CNK stock relative to their Q2-2022 position. At writing, TipRanks indicates that its hedge fund confidence signal pings as very positive. For those reading between the lines, this is a substantive indicator for Cinemark.Unlike a typical analyst assigning a rating on a stock, hedge funds must put their money where their mouth is. That’s really how they make their living. Therefore, if the institutional investors employing the brightest experts utilizing the best resources believe that CNK stock is worth a shot, it’s at least worth investigating.In the spirit of full transparency, the current financials for Cinemark don’t inspire confidence. For instance, its three-year revenue growth rate sits at -22.5%. Its net margin sank into negative territory. As a result, so too did its return on equity.However, these stats represent a recovery phase for CNK stock. Over time, Hollywood producers will likely recognize that they must focus on big blockbusters like Top Gun: Maverick to stay relevant. So long as they follow this tried-and-true formula, Cinemark at least has a chance to boost its financials.It’s a speculative wager, to be sure, but one that just might pan out.Special end-of-year offer: Access TipRanks Premium tools for an all-time low price! Click to learn more.Disclosure"
4,TM,/news/article/why-silent-majority-argument-toyota-tm-stock-has-weight,Toyota (NYSE:TM) Isn’t Going All-In on EVs; Why It Matters,"It’s not every day that the conservative-leaning editorial arm of Fox News sings the praises of Japanese companies. However, that was what occurred when former Arkansas Governor Mike Huckabee affirmed the position of Toyota (NYSE:TM) regarding electric vehicles. Contrasting with peers, Toyota CEO Akio Toyoda declared that he’s part of the industry’s silent majority in questioning EV exclusivity. Once an oddball, TM stock deserves further investigation. I am long-term bullish on the stock.Fundamentally, EVs may very well represent the future of mobility. Although their production requires an expenditure on natural resources and environmentally-unfriendly manufacturing processes, once rolled off the assembly line, their day-to-day operation features zero emissions. With climate change and concerns about geopolitical energy dependencies rising to the forefront, EVs seem to offer a win-win solution. However, Toyota doesn’t quite see it that way, leading to questions about TM stock.It’s not that the famous automaker doesn’t care about electrification. Around this time last year, Toyota announced plans to invest $35 billion to launch 30 EVs by 2030. Rather, Toyota refuses to go all-in on EVs, which makes TM stock both compelling and risky. If EVs become the exclusive standard for vehicular travel, Toyota could lag behind the competition. On the flip side, if combustion-powered vehicles remain relevant, the company would be in an enviable position.To be fair, Toyoda never stated that he was anti-EV. “Because the right answer is still unclear, we shouldn’t limit ourselves to just one option,” he said, per The Wall Street Journal. Sure enough, Fox News’ internet commentators – who typically don’t share much love for foreign companies that compete with American enterprises – praised Toyota’s contrarian move.By the numbers, they might be right on this particular issue.To reiterate, Toyota is hardly an anti-EV company. It invests in the underlying technology along with other approaches, particularly hybrid. Instead, management urges flexibility ahead of a difficult-to-navigate economic environment, and it’s this smart and conscientious strategy that may boost TM stock in the long run.Primarily, a massive impediment to broader EV integration is cost. Early in 2022, the average transaction price for a new EV stood at $62,876. Given that the pre-pandemic U.S. household income was $69,560, not too many people can reasonably afford an EV. Combined with the destruction of the dollar’s purchasing power and rising layoffs, fewer people are interested in making the transition.Second, technical issues pose major challenges for the EV exclusive. As TipRanks reporter Sweta Jaiswal mentioned, the U.S. “has nearly 124,000 public chargers that take long hours to charge.” Further, another WSJ report mentioned that the government seeks to raise this number to 500,000 public chargers. However, Jaiswal points out that McKinsey & Co. projects a requirement of 1.2 million chargers for EV integration to be viable.Further, charging infrastructure alone won’t lead to a mass transition to EVs. For instance, while The Washington Post argues that EVs are the future, the news agency also acknowledges that the power grid isn’t ready. By one study, the U.S. will need to invest as much as $125 billion by 2030 to accommodate EVs.Unfortunately, this number may be understated. For example, in California – the richest state in the Union – its grid couldn’t handle people turning on their air conditioners. Therefore, policymakers and private companies proposed renewable energy infrastructure investments to reduce the strain. However, millions of households plugging in their EVs would require a far greater upgrade.Turning to Wall Street, TM stock has a Hold consensus rating based on zero Buys, three Holds, and zero Sell ratings. The average TM price target is $152.40, implying 13.6% upside potential.Interestingly, on TipRanks, TM stock has a 7 out of 10 Smart Score rating. This indicates that the stock is likely to perform in line with the overall market but is just one point away from receiving an “outperform” rating.Although Toyota’s decision to carefully move into electrification may seem awfully conservative, it’s also arguably sensible. Frankly, those betting on an exclusive EV future may spark catastrophic damage to their financials if they get it wrong. Thus, TM stock appears rather reasonable.Currently, on a trailing-12-month basis, Toyota’s profitability margins rate decently though not superbly. For instance, its net margin is 7.43%, ranked better than 77% of the industry. In turn, its return on equity – or the ability to convert equity into profits – is 9.51%. Here, this stat rates better than nearly 63% of the competition – good but not great.Further, its three-year revenue growth rate stands at 2.9%. This ranks better than 57.5% of its peers, which is a challenge for TM stock. If Toyota goes EV exclusive, it may have to wait years for either consumers to boost their income or for economies of scale to drive down production costs. Neither outcome looks promising at the moment.Right now and arguably for the foreseeable future, Toyota dominates the average-income segment. If society incurs a recession, Toyota is better positioned than the EV-exclusive competition. Therefore, TM stock is more intriguing than it initially appears on paper.Disclosure"
5,AMC,/news/article/amc-stock-is-likely-to-be-a-flop-next-year,AMC Stock (NYSE:AMC) Will Likely Flop in 2023,"AMC (NYSE:AMC) CEO Adam Aron’s decision to create and spin off AMC Preferred Equity over the summer has been disastrous for investors. Over the past three months, both tickers have shed over 50% of their values. Those unfortunate enough to have purchased AMC stock at its peak last June have lost over 90% on their holding. Moreover, with a bleak outlook ahead and the theatre giant burning its cash reserves at an accelerated pace, it’s best to discard the stock from your portfolios. Hence, we are bearish on AMC stock at this time.AMC CEO’s insistence that the lack of quality content is the biggest issue for movie theater chains rings hollow. We saw how movies such as Top Gun Maverick hit theaters earlier in the year, generating over $1.4 billion in revenues. It became the 11th highest-grossing film of all time, but AMC still delivered dismal operating income figures compared to pre-COVID times. These numbers make it clear that movie theaters face something beyond a simple problem. Movie theaters are losing their relevance, and it will take a lot for the firm to solve its operational shortfalls.Meanwhile, AMC continues to burn through its cash reserves, placing it in a highly precarious position. It hasn’t been profitable since 2018 and has generated positive free cash flows in just one out of the last 11 quarters. Moreover, its stock is down 76% year-to-date. With less-than-ideal conditions ahead, it’s plausible to assume that AMC stock will lose more value and sink further into penny stock territory.AMC’s balance sheet is certainly in disarray, and its management seems to be running out of ideas. A steep decline in profitability has caused the movie theater giant to burn through its cash reserve, nearly $1.13 billion over the past 5 quarters. AMC bled a massive $280.6 million in cash just this past quarter alone, representing a substantial decrease of over 25%. Ultimately, AMC has been able to stay afloat at the cost of its own financial stability, a situation that shows no signs of improvement in the near future.AMC’s total liabilities of $11.79 billion comfortably dwarf its assets base of roughly $9.21 billion. This places its equity at -$2.58 billion, which adds to the company’s dicey positioning. Unless it can become operationally profitable or find a way to restructure its financial obligations completely, there will likely be significant shareholder dilution. Therefore, it’s clear that the company faces an uphill battle to ensure all stakeholders are taken care of come 2023.In addition, the recent conference calls conducted by AMC have been concerning. No one seems to have an answer for how it can turn its prospects around, nor has anybody brought up a plan for sustainable profitability. On a side note, given the weakness in the economic environment, AMC’s CEO requested the board of directors to not increase his pay.Streaming has infiltrated the entertainment industry and created a formidable challenge for AMC. With millions being pumped into streaming services, it has only had a detrimental effect on businesses such as AMC, as well as an overall decline in theatrical movie releases. As streaming services continue to pop up, consumers have more and more access to content than ever before.Turning to Wall Street, AMC stock maintains a Moderate Sell consensus rating. Out of 4 total analyst ratings, zero Buys, two Holds, and two Sell ratings were assigned over the past three months. The average AMC price target is $3.53, implying 12.62% downside potential. Analyst price targets range from a low of $1.10 per share to a high of $7.50 per share.The outlook for AMC appears to be grim in 2023. With a balance sheet in shambles, an unsustainable cash burn rate, and competition from streaming services, there is no definitive path to profitability. Something must change drastically soon for AMC to survive. Otherwise, it will likely be forced to issue more shares and further dilute existing shareholders. It could be argued that this scenario is inevitable; if AMC continues in its current trajectory, it will continue to falter next year as well. Thus, it’s best to avoid the stock for now.Special end-of-year offer: Access TipRanks Premium tools for an all-time low price! Click to learn more.Disclosure"
6,SYK,/news/article/hedge-funds-are-pouring-money-into-stryker-nysesyk-stock,Hedge Funds Are Pouring Money into Stryker (NYSE:SYK) Stock,"TipRanks provides several tools that can support investors in making informed investment decisions. One such tool is the Hedge Fund Trading Activity tool, which gives insights into the sentiments of ace hedge fund managers based on their latest investments in the stock. One of the healthcare sector stocks that hedge funds are currently optimistic about is Stryker Corporation (NYSE:SYK). The Michigan-based company provides medical technology products and services. According to the tool, hedge funds bought 1.3 million SYK shares last quarter. Six hedge fund managers added the stock to their portfolios, including Ken Fisher of Fisher Asset Management and Ric Dillon of Diamond Hill Capital Management. Overall, Stryker has a very positive Hedge Fund Confidence Signal at present.High demand for medical devices along with the launch of new products is likely to keep supporting Stryker’s top-line growth. According to Fortune Business Insights, the global medical devices market is expected to grow at a compound annual growth rate of 5.5% in the 2022-2029 period.Furthermore, in its third-quarter earnings report, the management was optimistic about its Fiscal 2023 performance despite persistent inflationary and supply chain headwinds. The company expects its higher pricing and cost-reduction measures to drive earnings next year.Also, the company’s capital deployment activities are impressive. Stryker has been increasing its quarterly common stock dividend every year since 2009, with the latest hike of 7.9% announced earlier this month.Last week, BTIG analyst Ryan Zimmerman reiterated a Buy rating on SYK and raised the price target to $268 from $232. The analyst expects Stryker’s shares to swing up and down in the first half of 2023 as the company “works through continued supply chain challenges.”Wall Street is cautiously optimistic about Stryker’s prospects. The stock has received 10 Buy and five Hold recommendations for a Moderate Buy rating consensus. The average price target of $257.92 implies 6.7% upside potential.Sound growth prospects for the medical devices market and the company’s efforts to launch new products might support Stryker’s performance in the near future. Find out which stock the biggest hedge fund managers are buying right now.Special end-of-year offer: Access TipRanks Premium tools for an all-time low price! Click to learn more.Disclosure"
7,KALA,/news/article/kala-pharmaceuticals-the-biotech-stock-that-soared-by-218-in-one-session,Kala Pharmaceuticals: The Biotech Stock That Soared by 218% in One Session,"The general market action matters little to biotech stocks. The potential for massive gains – or losses – lies with company-specific news flow, such as positive/negative updates from clinical studies or regulatory developments.In the case of Kala Pharmaceuticals (KALA), its latest update drew plenty of applause from investors. As the major indexes took a further beating on Wednesday, KALA shares saw out the session up by 218% after the company announced that the IND (investigational new drug) application for its lead product candidate KPI-012, indicated to treat persistent corneal epithelial defect (PCED), had been accepted by the FDA.The company expects to initiate the Phase 2b study in 1Q23, with topline data anticipated in 1Q24.PCED is a complication that can occur because of a corneal injury that does not heal properly. In the Phase 1b trial, total healing of corneal defects as measured by corneal staining was the primary efficacy endpoint. Seven of the eight evaluable patients saw improvement, with six of the eight attaining full healing after 4 weeks. The six healed patients remained so until the end of the follow-up period.“In our view,” says H.C. Wainwright’s Yi Chen, “these results are very promising for PCED patients who have little treatment options. Notably, the FDA has granted Orphan Drug designation to KPI-012 for the treatment of PCED.”The acceptance of the IND application means the company has received the remaining $25 million (out of $31 million in total) in investment according to the terms of the private placement financing announced at the end of last month. Combined with the current cash on hand, management anticipates it has enough capital to last until 1Q25.All told, Chen sticks with a Buy rating for KALA shares along with a $12 price target. However, following Wednesday’s huge gains, the stock has now surpassed that target. It will be interesting to see whether Chen updates his model shortly. (To watch Chen’s track record, click here)It’s all rather quiet on the KALA analyst front. Over the past 3 months, one other analyst has chimed in with a review, which is also positive, providing the stock with a Moderate Buy consensus rating. With the extra review anticipating further gains, the $29.5 average price target allows for returns of 136% over the coming year. (See KALA stock forecast on TipRanks)Special end-of-year offer: Access TipRanks Premium tools for an all-time low price! Click to learn more. To find good ideas for stocks trading at attractive valuations, visit TipRanks’ Best Stocks to Buy, a newly launched tool that unites all of TipRanks’ equity insights.Disclaimer: The opinions expressed in this article are solely those of the featured analyst. The content is intended to be used for informational purposes only. It is very important to do your own analysis before making any investment."
